date,product_id,product_name,category,brand,unit_price,supplier_id,current_stock,reorder_level,units_sold,discount_percentage,is_holiday,is_weekend,month,day_of_week,needs_restock,restock_quantity
2025-09-12,106,LED Bulb,Building Materials,Makita,1935.25,14,214,30,11,5,0,0,9,4,No,116
2025-06-22,108,Garden Hose,Building Materials,Bosch,2350.32,20,130,41,8,10,0,1,6,6,No,110
2025-05-08,106,LED Bulb,Safety Equipment,Makita,376.42,1,252,63,11,10,0,0,5,3,No,78
2025-05-29,110,Nails Pack,Safety Equipment,Dulux,213.01,8,187,35,10,0,0,0,5,3,No,113
2025-10-17,107,Cement Bag,Plumbing,Hilti,1240.58,14,54,71,5,10,0,0,10,4,Yes,96
2025-05-13,106,LED Bulb,Gardening,Nippon,3002.83,11,88,79,6,5,0,0,5,1,No,92
2025-07-05,110,Nails Pack,Paint,Stanley,2860.11,9,91,66,9,0,0,1,7,5,No,179
2025-05-14,110,Nails Pack,Plumbing,Dulux,3447.99,10,34,33,11,10,0,0,5,2,No,296
2025-12-28,107,Cement Bag,Building Materials,Bosch,2016.2,1,53,61,7,15,0,1,12,6,Yes,157
2025-12-30,109,Safety Gloves,Building Materials,Dulux,2881.73,14,269,50,9,10,0,0,12,1,No,1
2025-09-07,106,LED Bulb,Fasteners,Bosch,4617.18,12,189,59,5,5,0,1,9,6,No,0
2025-08-28,108,Garden Hose,Paint,Bosch,4238.22,8,279,45,12,0,0,0,8,3,No,81
2025-09-21,101,Hammer,Tools,Stanley,4829.75,16,156,34,11,0,0,1,9,6,No,174
2025-09-03,101,Hammer,Fasteners,3M,909.81,17,62,30,9,10,0,0,9,2,No,208
2025-08-25,106,LED Bulb,Fasteners,Bosch,1074.33,7,32,67,14,10,0,0,8,0,Yes,388
2025-06-25,103,Electric Drill,Plumbing,Stanley,1917.01,6,171,59,12,15,0,0,6,2,No,189
2025-07-30,106,LED Bulb,Building Materials,Hilti,1446.14,5,130,20,11,10,0,0,7,2,No,200
2025-08-26,106,LED Bulb,Fasteners,Nippon,3636.47,16,282,28,7,5,0,0,8,1,No,0
2025-03-21,108,Garden Hose,Paint,3M,3582.25,2,178,51,5,0,1,0,3,4,No,0
2025-04-27,101,Hammer,Tools,Bosch,3218.41,16,221,56,8,10,0,1,4,6,No,19
2025-02-15,108,Garden Hose,Gardening,3M,1321.53,9,35,32,9,15,0,1,2,5,No,235
2025-03-18,109,Safety Gloves,Paint,Stanley,477.2,19,65,61,8,15,0,0,3,1,No,175
2025-07-16,103,Electric Drill,Gardening,Makita,4059.79,6,285,30,13,15,0,0,7,2,No,105
2025-09-08,105,PVC Pipe,Tools,Bosch,1689.29,10,189,52,6,5,0,0,9,0,No,0
2025-02-13,102,Screwdriver Set,Fasteners,Ingco,1433.45,2,232,22,11,0,0,0,2,3,No,98
2025-10-14,101,Hammer,Safety Equipment,Dulux,134.07,10,164,52,10,5,0,0,10,1,No,136
2025-08-25,108,Garden Hose,Building Materials,Ingco,687.34,10,232,71,8,10,0,0,8,0,No,8
2025-01-19,110,Nails Pack,Building Materials,Stanley,1881.79,20,112,56,7,5,0,1,1,6,No,98
2025-06-07,102,Screwdriver Set,Building Materials,Makita,1495.72,12,223,52,10,10,1,1,6,5,No,77
2025-03-18,110,Nails Pack,Building Materials,Nippon,3208.32,18,217,51,12,5,0,0,3,1,No,143
2025-07-21,110,Nails Pack,Building Materials,Stanley,2809.18,9,183,78,11,15,0,0,7,0,No,147
2025-01-22,110,Nails Pack,Gardening,Bosch,1286.58,10,97,25,13,10,0,0,1,2,No,293
2025-12-29,106,LED Bulb,Building Materials,Dulux,2054.24,19,258,39,6,5,0,0,12,0,No,0
2025-01-10,108,Garden Hose,Electrical,3M,1697.2,10,146,39,7,15,0,0,1,4,No,64
2025-04-14,109,Safety Gloves,Building Materials,3M,3261.35,1,128,30,9,15,0,0,4,0,No,142
2025-04-12,104,Paint Bucket 5L,Tools,Makita,1771.23,12,251,35,14,15,0,1,4,5,No,169
2025-12-12,103,Electric Drill,Safety Equipment,Dulux,4104.39,3,1,20,10,15,0,0,12,4,Yes,299
2025-03-11,102,Screwdriver Set,Fasteners,Hilti,556.2,3,98,38,11,5,0,0,3,1,No,232
2025-04-09,102,Screwdriver Set,Electrical,Dulux,3657.18,16,74,68,13,0,0,0,4,2,No,316
2025-12-18,101,Hammer,Paint,Dulux,891.98,8,226,67,15,5,0,0,12,3,No,224
2025-04-07,109,Safety Gloves,Building Materials,Nippon,597.21,10,193,73,12,10,0,0,4,0,No,167
2025-11-07,108,Garden Hose,Building Materials,Makita,2297.28,5,134,22,6,0,1,0,11,4,No,46
2025-07-25,103,Electric Drill,Fasteners,Ingco,3322.3,6,21,65,11,10,0,0,7,4,Yes,309
2025-05-08,108,Garden Hose,Gardening,Nippon,2990.37,14,276,49,15,15,0,0,5,3,No,174
2025-09-05,104,Paint Bucket 5L,Gardening,Dulux,3261.01,20,3,54,7,10,0,0,9,4,Yes,207
2025-12-04,104,Paint Bucket 5L,Gardening,Bosch,3865.91,20,5,54,10,10,0,0,12,3,Yes,295
2025-10-25,109,Safety Gloves,Tools,Ingco,3763.82,10,180,50,17,0,0,1,10,5,No,330
2025-08-25,104,Paint Bucket 5L,Plumbing,Bosch,4821.74,10,160,22,14,0,0,0,8,0,No,260
2025-07-08,105,PVC Pipe,Safety Equipment,Nippon,930.51,8,279,69,12,15,0,0,7,1,No,81
2025-04-23,108,Garden Hose,Building Materials,3M,3113.54,3,272,59,10,5,0,0,4,2,No,28
2025-05-11,108,Garden Hose,Fasteners,Dulux,3515.38,16,169,74,12,0,0,1,5,6,No,191
2025-06-03,108,Garden Hose,Fasteners,Ingco,2156.93,15,35,64,7,0,0,0,6,1,Yes,175
2025-05-21,106,LED Bulb,Plumbing,Hilti,1051.94,3,141,31,4,15,0,0,5,2,No,0
2025-12-06,106,LED Bulb,Plumbing,Makita,4444.42,7,50,44,9,10,0,1,12,5,No,220
2025-08-16,109,Safety Gloves,Electrical,Bosch,859.7,19,169,25,14,5,0,1,8,5,No,251
2025-01-22,110,Nails Pack,Paint,Nippon,1586.0,4,263,72,10,15,0,0,1,2,No,37
2025-07-06,107,Cement Bag,Paint,Makita,1430.56,7,261,64,18,0,0,1,7,6,No,279
2025-06-20,105,PVC Pipe,Fasteners,Makita,1052.46,6,143,32,9,10,1,0,6,4,No,127
2025-02-04,103,Electric Drill,Electrical,Nippon,4850.73,2,119,38,12,0,0,0,2,1,No,241
2025-01-10,106,LED Bulb,Electrical,Bosch,2250.96,6,116,42,4,10,0,0,1,4,No,4
2025-03-13,108,Garden Hose,Fasteners,Hilti,2198.74,11,121,20,12,5,0,0,3,3,No,239
2025-07-29,109,Safety Gloves,Paint,Stanley,2267.53,20,88,59,7,15,0,0,7,1,No,122
2025-11-18,103,Electric Drill,Plumbing,Makita,4679.61,19,191,24,11,5,0,0,11,1,No,139
2025-12-12,102,Screwdriver Set,Safety Equipment,3M,3097.43,19,143,70,9,5,0,0,12,4,No,127
2025-12-27,106,LED Bulb,Fasteners,3M,3813.45,7,237,71,3,0,0,1,12,5,No,0
2025-09-18,105,PVC Pipe,Paint,Ingco,959.12,4,253,49,13,5,0,0,9,3,No,137
2025-11-04,103,Electric Drill,Safety Equipment,Nippon,3283.89,6,249,38,14,15,0,0,11,1,No,171
2025-09-11,107,Cement Bag,Plumbing,Dulux,2565.37,6,3,35,14,5,0,0,9,3,Yes,417
2025-08-02,101,Hammer,Fasteners,Dulux,445.79,11,159,46,11,10,0,1,8,5,No,171
2025-07-25,104,Paint Bucket 5L,Tools,Hilti,4024.65,3,32,52,12,15,0,0,7,4,Yes,328
2025-04-29,110,Nails Pack,Paint,Bosch,4074.9,8,64,52,13,10,0,0,4,1,No,326
2025-08-25,107,Cement Bag,Building Materials,Hilti,3292.28,12,11,50,7,0,0,0,8,0,Yes,199
2025-03-15,106,LED Bulb,Safety Equipment,Hilti,1948.57,9,92,45,8,10,0,1,3,5,No,148
2025-11-01,108,Garden Hose,Electrical,Dulux,3439.91,7,195,77,8,15,0,1,11,5,No,45
2025-03-16,103,Electric Drill,Plumbing,Ingco,3514.01,3,191,54,8,5,0,1,3,6,No,49
2025-02-28,103,Electric Drill,Electrical,Nippon,4953.48,10,95,43,9,15,0,0,2,4,No,175
2025-09-19,107,Cement Bag,Plumbing,Dulux,4348.87,9,182,32,11,15,0,0,9,4,No,148
2025-03-13,105,PVC Pipe,Paint,3M,3725.55,5,61,39,7,10,0,0,3,3,No,149
2025-04-10,104,Paint Bucket 5L,Gardening,Hilti,4149.64,8,232,38,9,10,0,0,4,3,No,38
2025-07-15,103,Electric Drill,Tools,3M,547.3,13,143,72,17,10,0,0,7,1,No,367
2025-06-08,103,Electric Drill,Paint,3M,549.35,10,52,42,11,5,0,1,6,6,No,278
2025-05-03,107,Cement Bag,Plumbing,Dulux,3928.35,15,238,31,10,0,0,1,5,5,No,62
2025-10-26,107,Cement Bag,Plumbing,Nippon,3471.35,12,167,61,14,0,0,1,10,6,No,253
2025-08-15,109,Safety Gloves,Plumbing,Dulux,2043.59,13,28,56,15,15,0,0,8,4,Yes,422
2025-09-28,106,LED Bulb,Plumbing,Nippon,1242.82,11,216,64,14,15,0,1,9,6,No,204
2025-06-28,109,Safety Gloves,Tools,Makita,3791.55,13,181,58,9,5,0,1,6,5,No,89
2025-11-12,102,Screwdriver Set,Electrical,Nippon,2178.69,7,172,32,15,10,0,0,11,2,No,278
2025-12-19,101,Hammer,Fasteners,Hilti,2085.49,10,0,22,11,5,0,0,12,4,Yes,330
2025-07-17,110,Nails Pack,Electrical,Makita,2958.51,8,116,25,18,15,0,0,7,3,No,424
2025-11-03,101,Hammer,Fasteners,Stanley,4030.34,16,212,30,8,0,0,0,11,0,No,28
2025-12-09,103,Electric Drill,Tools,Dulux,4603.67,7,46,60,7,15,0,0,12,1,Yes,164
2025-08-02,107,Cement Bag,Electrical,Stanley,1162.36,3,11,29,12,5,0,1,8,5,Yes,349
2025-09-28,108,Garden Hose,Safety Equipment,Ingco,4757.02,12,155,72,15,0,0,1,9,6,No,295
2025-12-10,104,Paint Bucket 5L,Building Materials,Dulux,1459.17,2,185,79,7,15,0,0,12,2,No,25
2025-04-18,104,Paint Bucket 5L,Paint,Makita,2959.91,6,211,32,10,5,0,0,4,4,No,89
2025-11-15,103,Electric Drill,Tools,Makita,3455.18,4,9,75,12,10,0,1,11,5,Yes,351
